MicroVigene	 Version	 2501
Culture	en-US
9/30/2006 12:56:54 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	4998	7824	5398	234558	0	
1	 1	 1	 2	sample1	3253	6337	2826	163452	0	
1	 1	 1	 3	sample1	3880	6450	4368	205600	0	
1	 1	 1	 4	sample1	3496	5808	3598	180336	0	
1	 1	 1	 5	sample1	2431	4487	2570	102800	0	
1	 1	 1	 6	control	-108.54	2203	-255.99	92480	0	
1	 1	 2	 1	sample2	5120	8204	5140	163452	0	
1	 1	 2	 2	sample2	5007	8091	4882	280644	0	
1	 1	 2	 3	sample2	4419	6989	4626	223590	0	
1	 1	 2	 4	sample2	3460	5772	3598	215016	0	
1	 1	 2	 5	sample2	2683	4739	2826	106912	0	
1	 1	 2	 6	control	308	2364	256	82240	0	
1	 1	 3	 1	sample3	4543	7113	4368	136210	0	
1	 1	 3	 2	sample3	5135	7447	5140	221952	0	
1	 1	 3	 3	sample3	4265	6321	4368	234384	0	
1	 1	 3	 4	sample3	3010	4808	3084	154628	0	
1	 1	 3	 5	sample3	1525	3323	1542	79112	0	
1	 1	 3	 6	control	-160.14	1638	-255.99	71920	0	
1	 1	 4	 1	sample4	3799	5855	3854	170648	0	
1	 1	 4	 2	sample4	3057	4855	3084	133052	0	
1	 1	 4	 3	sample4	2200	3742	2312	148032	0	
1	 1	 4	 4	sample4	1525	3067	1542	72474	0	
1	 1	 4	 5	sample4	1015	2557	1028	61680	0	
1	 1	 4	 6	control	83.2	1625	0	61680	0	
1	 2	 1	 1	sample5	6177	9003	5654	245862	0	
1	 2	 1	 2	sample5	6139	9993	6426	200408	0	
1	 2	 1	 3	sample5	5040	8894	4884	177284	0	
1	 2	 1	 4	sample5	3249	6847	3340	161910	0	
1	 2	 1	 5	sample5	2480	5820	2570	123580	0	
1	 2	 1	 6	control	-199.59	2884	-257.99	123360	0	
1	 2	 2	 1	sample6	6387	9213	6168	113040	0	
1	 2	 2	 2	sample6	5057	8655	5396	190694	0	
1	 2	 2	 3	sample6	2982	6322	2314	133600	0	
1	 2	 2	 4	sample6	2467	5551	2056	123360	0	
1	 2	 2	 5	sample6	3628	6454	3856	98910	0	
1	 2	 2	 6	control	444	2756	514	92480	0	
1	 2	 3	 1	sample7	4079	6391	3856	252008	0	
1	 2	 3	 2	sample7	4050	6362	4370	208080	0	
1	 2	 3	 3	sample7	4200	6770	4368	133640	0	
1	 2	 3	 4	sample7	2962	5018	3084	148032	0	
1	 2	 3	 5	sample7	1339	3395	1542	78128	0	
1	 2	 3	 6	control	245	2043	258	71920	0	
1	 2	 4	 1	sample8	2649	4191	2570	149574	0	
1	 2	 4	 2	sample8	2187	3729	2312	63222	0	
1	 2	 4	 3	sample8	2333	3875	2312	77100	0	
1	 2	 4	 4	sample8	1259	2801	1284	61680	0	
1	 2	 4	 5	sample8	797	2081	514	51360	0	
1	 2	 4	 6	control	457	1741	258	51360	0	
1	 3	 1	 1	sample9	7786	11128	8224	237282	0	
1	 3	 1	 2	sample9	6673	10015	6938	287412	0	
1	 3	 1	 3	sample9	5683	8511	5396	172508	0	
1	 3	 1	 4	sample9	4664	6978	5140	138840	0	
1	 3	 1	 5	sample9	2796	4596	2826	135000	0	
1	 3	 1	 6	control	155	1697	0	61680	0	
1	 3	 2	 1	sample10	4884	7968	4112	120276	0	
1	 3	 2	 2	sample10	7645	10987	7452	147048	0	
1	 3	 2	 3	sample10	5734	8304	6426	174760	0	
1	 3	 2	 4	sample10	4627	6683	4884	88408	0	
1	 3	 2	 5	sample10	3484	5026	3598	69390	0	
1	 3	 2	 6	control	296	1838	258	61680	0	
1	 3	 3	 1	sample11	5675	7731	5398	102800	0	
1	 3	 3	 2	sample11	5615	8185	5912	118220	0	
1	 3	 3	 3	sample11	4505	6561	3856	74016	0	
1	 3	 3	 4	sample11	3380	4922	3084	50886	0	
1	 3	 3	 5	sample11	2507	3793	2570	42438	0	
1	 3	 3	 6	control	277	1305	258	41120	0	
1	 3	 4	 1	sample12	3905	5191	3854	52726	0	
1	 3	 4	 2	sample12	2722	4264	2570	94062	0	
1	 3	 4	 3	sample12	4108	5650	4112	92520	0	
1	 3	 4	 4	sample12	2184	3470	1798	51440	0	
1	 3	 4	 5	sample12	694	1722	772	41120	0	
1	 3	 4	 6	control	142	1170	0	41120	0	
1	 4	 1	 1	sample13	7747	10061	6938	219830	0	
1	 4	 1	 2	sample13	8419	10733	8738	173550	0	
1	 4	 1	 3	sample13	7354	9410	8224	164480	0	
1	 4	 1	 4	sample13	4669	6469	5140	117000	0	
1	 4	 1	 5	sample13	3676	5218	3856	123360	0	
1	 4	 1	 6	control	6.7	1549	0	61680	0	
1	 4	 2	 1	sample14	6502	8816	6424	122642	0	
1	 4	 2	 2	sample14	5470	8040	5398	136210	0	
1	 4	 2	 3	sample14	3766	5822	4112	106912	0	
1	 4	 2	 4	sample14	3114	4656	3598	123360	0	
1	 4	 2	 5	sample14	2667	3953	2570	57870	0	
1	 4	 2	 6	control	328	1870	258	61680	0	
1	 4	 3	 1	sample15	5169	6969	5396	95400	0	
1	 4	 3	 2	sample15	2690	4490	2312	196200	0	
1	 4	 3	 3	sample15	3039	4581	2828	123360	0	
1	 4	 3	 4	sample15	2244	3530	2312	96450	0	
1	 4	 3	 5	sample15	1755	2783	1800	29812	0	
1	 4	 3	 6	control	-51.84	1234	0	51440	0	
1	 4	 4	 1	sample16	2891	4177	2570	153034	0	
1	 4	 4	 2	sample16	2359	3901	2314	61680	0	
1	 4	 4	 3	sample16	1772	3314	1542	72474	0	
1	 4	 4	 4	sample16	1555	2583	1286	41120	0	
1	 4	 4	 5	sample16	585	1613	514	41120	0	
1	 4	 4	 6	control	341	1369	258	41120	0	
1	 5	 1	 1	sample17	6953	8753	7196	187200	0	
1	 5	 1	 2	sample17	6598	8654	6682	180928	0	
1	 5	 1	 3	sample17	4819	6361	5398	117192	0	
1	 5	 1	 4	sample17	4384	5926	4112	111024	0	
1	 5	 1	 5	sample17	2854	4396	3084	75558	0	
1	 5	 1	 6	control	-44.59	1497	0	61680	0	
1	 5	 2	 1	sample18	3909	6479	3598	136210	0	
1	 5	 2	 2	sample18	4631	6945	5140	201318	0	
1	 5	 2	 3	sample18	3694	5494	3854	158400	0	
1	 5	 2	 4	sample18	2421	3963	2314	77100	0	
1	 5	 2	 5	sample18	1686	3228	1800	80184	0	
1	 5	 2	 6	control	263	2063	256	72000	0	
1	 5	 3	 1	sample19	4496	7580	4370	163452	0	
1	 5	 3	 2	sample19	5217	7531	5396	122642	0	
1	 5	 3	 3	sample19	4428	6228	4626	93600	0	
1	 5	 3	 4	sample19	3033	4319	3084	104166	0	
1	 5	 3	 5	sample19	2370	3656	2570	63014	0	
1	 5	 3	 6	control	-237.34	1305	-255.99	61680	0	
1	 5	 4	 1	sample20	2200	4770	2056	110510	0	
1	 5	 4	 2	sample20	2963	4505	3084	55512	0	
1	 5	 4	 3	sample20	1207	2493	1028	51440	0	
1	 5	 4	 4	sample20	1253	2281	1028	41120	0	
1	 5	 4	 5	sample20	540	1568	514	41120	0	
1	 5	 4	 6	control	314	1600	256	51440	0	
1	 6	 1	 1	sample21	4768	7082	4368	104130	0	
1	 6	 1	 2	sample21	4998	7054	5140	170648	0	
1	 6	 1	 3	sample21	3316	5116	3598	167400	0	
1	 6	 1	 4	sample21	3407	4949	3598	78642	0	
1	 6	 1	 5	sample21	2066	3608	2056	81726	0	
1	 6	 1	 6	control	-57.29	1485	0	61680	0	
1	 6	 2	 1	sample22	7336	10934	7196	165508	0	
1	 6	 2	 2	sample22	7163	9733	7196	257000	0	
1	 6	 2	 3	sample22	6961	9017	8224	170648	0	
1	 6	 2	 4	sample22	4431	5973	4112	127986	0	
1	 6	 2	 5	sample22	4205	5747	4626	124902	0	
1	 6	 2	 6	control	-102.29	1954	0	82240	0	
1	 6	 3	 1	sample23	3332	5902	3342	133640	0	
1	 6	 3	 2	sample23	3105	5161	2570	100744	0	
1	 6	 3	 3	sample23	3214	4756	3084	131070	0	
1	 6	 3	 4	sample23	2806	4092	2826	95164	0	
1	 6	 3	 5	sample23	1310	2596	1284	51440	0	
1	 6	 3	 6	control	-320.64	1221	-255.99	61680	0	
1	 6	 4	 1	sample24	3538	5594	3598	104856	0	
1	 6	 4	 2	sample24	3448	5248	3340	90000	0	
1	 6	 4	 3	sample24	4189	5475	4368	51440	0	
1	 6	 4	 4	sample24	1502	2788	1284	50154	0	
1	 6	 4	 5	sample24	662	1690	514	41120	0	
1	 6	 4	 6	control	-19.69	1266	0	51440	0	
1	 7	 1	 1	sample25	7217	9529	6682	235824	0	
1	 7	 1	 2	sample25	7539	9851	7968	194208	0	
1	 7	 1	 3	sample25	7196	9252	7710	160368	0	
1	 7	 1	 4	sample25	4354	6410	4368	150088	0	
1	 7	 1	 5	sample25	3083	5139	3340	176816	0	
1	 7	 1	 6	control	-13.19	2043	0	82240	0	
1	 7	 2	 1	sample26	6790	10130	6426	143620	0	
1	 7	 2	 2	sample26	6926	9496	7196	208170	0	
1	 7	 2	 3	sample26	4824	7136	5140	210392	0	
1	 7	 2	 4	sample26	4493	6549	4626	182984	0	
1	 7	 2	 5	sample26	3075	5131	3084	197376	0	
1	 7	 2	 6	control	296	2608	258	92480	0	
1	 7	 3	 1	sample27	1812	3610	1800	71920	0	
1	 7	 3	 2	sample27	1804	3346	1798	80184	0	
1	 7	 3	 3	sample27	1254	2796	1284	52428	0	
1	 7	 3	 4	sample27	800	2084	772	46224	0	
1	 7	 3	 5	sample27	385	1927	256	55512	0	
1	 7	 3	 6	control	-327.77	1470	-255.99	64728	0	
1	 7	 4	 1	sample28	3122	4664	2826	61680	0	
1	 7	 4	 2	sample28	3129	4413	3084	66768	0	
1	 7	 4	 3	sample28	2866	4150	2828	68052	0	
1	 7	 4	 4	sample28	2347	3631	2314	68052	0	
1	 7	 4	 5	sample28	593	1877	514	46224	0	
1	 7	 4	 6	control	121	1663	0	55512	0	
1	 8	 1	 1	sample29	9142	11456	8994	238342	0	
1	 8	 1	 2	sample29	8077	10391	8480	259168	0	
1	 8	 1	 3	sample29	8293	10349	8996	154200	0	
1	 8	 1	 4	sample29	6292	8092	6938	126000	0	
1	 8	 1	 5	sample29	3223	5023	3598	145800	0	
1	 8	 1	 6	control	-238.14	1562	-257.99	72000	0	
1	 8	 2	 1	sample30	5115	8199	5140	157284	0	
1	 8	 2	 2	sample30	6304	8874	6426	136210	0	
1	 8	 2	 3	sample30	4128	6184	4884	170648	0	
1	 8	 2	 4	sample30	3119	4919	3340	118800	0	
1	 8	 2	 5	sample30	2892	4692	2826	91800	0	
1	 8	 2	 6	control	84.1	2140	0	82240	0	
1	 8	 3	 1	sample31	4861	7175	4626	189748	0	
1	 8	 3	 2	sample31	4805	6605	4626	72000	0	
1	 8	 3	 3	sample31	3612	5154	3856	115650	0	
1	 8	 3	 4	sample31	2343	3629	2312	65586	0	
1	 8	 3	 5	sample31	1587	2615	1542	41120	0	
1	 8	 3	 6	control	-58.44	1228	0	51440	0	
1	 8	 4	 1	sample32	3546	4832	3340	159464	0	
1	 8	 4	 2	sample32	3020	4306	2826	99022	0	
1	 8	 4	 3	sample32	3149	4177	2828	53456	0	
1	 8	 4	 4	sample32	1862	2890	1800	50372	0	
1	 8	 4	 5	sample32	732	1504	770	30880	0	
1	 8	 4	 6	control	303	1331	258	41120	0	
1	 9	 1	 1	sample33	6103	8673	5910	257000	0	
1	 9	 1	 2	sample33	5775	8087	5912	191896	0	
1	 9	 1	 3	sample33	5038	7350	5140	104040	0	
1	 9	 1	 4	sample33	4439	6751	4884	110976	0	
1	 9	 1	 5	sample33	2396	4452	2312	100744	0	
1	 9	 1	 6	control	-161.24	1895	-257.99	82240	0	
1	 9	 2	 1	sample34	4601	7685	4368	163452	0	
1	 9	 2	 2	sample34	5358	7928	6168	223590	0	
1	 9	 2	 3	sample34	4686	6998	4884	208080	0	
1	 9	 2	 4	sample34	4516	6828	4884	113288	0	
1	 9	 2	 5	sample34	3297	5353	3084	96632	0	
1	 9	 2	 6	control	160	2216	256	82240	0	
1	 9	 3	 1	sample35	5214	7270	5140	156256	0	
1	 9	 3	 2	sample35	3675	5731	3598	108968	0	
1	 9	 3	 3	sample35	3185	4983	3342	91698	0	
1	 9	 3	 4	sample35	1861	3659	1800	89900	0	
1	 9	 3	 5	sample35	1208	3006	1028	71920	0	
1	 9	 3	 6	control	-243.64	1554	-255.99	71920	0	
1	 9	 4	 1	sample36	3216	5014	3084	88102	0	
1	 9	 4	 2	sample36	1884	3168	1542	145092	0	
1	 9	 4	 3	sample36	1870	3154	1800	51360	0	
1	 9	 4	 4	sample36	1138	2422	1028	51360	0	
1	 9	 4	 5	sample36	688	1972	772	51360	0	
1	 9	 4	 6	control	553	1837	514	51360	0	
1	 10	 1	 1	sample37	7406	10234	7196	234724	0	
1	 10	 1	 2	sample37	7434	10004	7968	203030	0	
1	 10	 1	 3	sample37	4994	7308	5140	208260	0	
1	 10	 1	 4	sample37	4596	6652	4884	158312	0	
1	 10	 1	 5	sample37	2349	4405	2570	164480	0	
1	 10	 1	 6	control	19.9	2076	0	82240	0	
1	 10	 2	 1	sample38	3737	6565	3340	130088	0	
1	 10	 2	 2	sample38	3896	6210	3854	113386	0	
1	 10	 2	 3	sample38	3573	5629	3598	104856	0	
1	 10	 2	 4	sample38	2296	4096	2056	167400	0	
1	 10	 2	 5	sample38	2203	4003	2056	72000	0	
1	 10	 2	 6	control	123	2179	0	82240	0	
1	 10	 3	 1	sample39	7469	10039	7968	125930	0	
1	 10	 3	 2	sample39	6002	8058	4884	174760	0	
1	 10	 3	 3	sample39	4202	6002	4368	147600	0	
1	 10	 3	 4	sample39	2699	4241	2570	77100	0	
1	 10	 3	 5	sample39	1440	2982	1286	61680	0	
1	 10	 3	 6	control	-179.39	1877	-255.99	82240	0	
1	 10	 4	 1	sample40	3825	5625	3598	95400	0	
1	 10	 4	 2	sample40	2799	4085	2570	95164	0	
1	 10	 4	 3	sample40	2685	3971	2570	105452	0	
1	 10	 4	 4	sample40	1246	2532	1284	51440	0	
1	 10	 4	 5	sample40	2608	3636	1800	69904	0	
1	 10	 4	 6	control	385	1671	256	51440	0	
1	 11	 1	 1	sample41	5758	8328	5912	223590	0	
1	 11	 1	 2	sample41	5176	7746	5654	241580	0	
1	 11	 1	 3	sample41	4442	6498	4884	152144	0	
1	 11	 1	 4	sample41	3373	5429	3342	133640	0	
1	 11	 1	 5	sample41	2406	4206	2312	93600	0	
1	 11	 1	 6	control	-13.39	1787	0	72000	0	
1	 11	 2	 1	sample42	5432	8516	6168	163452	0	
1	 11	 2	 2	sample42	4791	7619	5140	263004	0	
1	 11	 2	 3	sample42	4680	6736	5140	176816	0	
1	 11	 2	 4	sample42	3864	5664	4112	151200	0	
1	 11	 2	 5	sample42	3759	5559	3598	91800	0	
1	 11	 2	 6	control	289	2089	256	72000	0	
1	 11	 3	 1	sample43	5378	8976	4884	187096	0	
1	 11	 3	 2	sample43	5637	7951	5654	212888	0	
1	 11	 3	 3	sample43	5852	7908	5654	178872	0	
1	 11	 3	 4	sample43	4422	6222	4368	138600	0	
1	 11	 3	 5	sample43	3550	5092	3342	106398	0	
1	 11	 3	 6	control	84.1	1626	0	61680	0	
1	 11	 4	 1	sample44	3806	5348	3856	80184	0	
1	 11	 4	 2	sample44	3219	4761	3342	64764	0	
1	 11	 4	 3	sample44	1769	3311	1800	77100	0	
1	 11	 4	 4	sample44	2484	3770	2312	88734	0	
1	 11	 4	 5	sample44	1385	2671	1542	59156	0	
1	 11	 4	 6	control	244	1530	256	51440	0	
1	 12	 1	 1	sample45	7661	10489	7966	212100	0	
1	 12	 1	 2	sample45	6932	9502	7968	187610	0	
1	 12	 1	 3	sample45	6333	8647	6938	143468	0	
1	 12	 1	 4	sample45	4816	7130	5396	134212	0	
1	 12	 1	 5	sample45	2138	4194	2056	174760	0	
1	 12	 1	 6	control	346	2660	256	92560	0	
1	 12	 2	 1	sample46	2752	5322	2570	123360	0	
1	 12	 2	 2	sample46	3361	5675	3340	145782	0	
1	 12	 2	 3	sample46	3840	6154	3854	159666	0	
1	 12	 2	 4	sample46	2604	4660	2570	94576	0	
1	 12	 2	 5	sample46	2073	4129	2056	96632	0	
1	 12	 2	 6	control	444	2500	514	82240	0	
1	 12	 3	 1	sample47	6678	9248	6168	156770	0	
1	 12	 3	 2	sample47	4260	6574	4368	148096	0	
1	 12	 3	 3	sample47	4392	6448	4370	139808	0	
1	 12	 3	 4	sample47	2388	4188	2312	109800	0	
1	 12	 3	 5	sample47	1948	3748	2056	120600	0	
1	 12	 3	 6	control	174	2230	258	82240	0	
1	 12	 4	 1	sample48	4831	6887	4884	80184	0	
1	 12	 4	 2	sample48	3976	5776	3340	95400	0	
1	 12	 4	 3	sample48	4173	5973	4368	135000	0	
1	 12	 4	 4	sample48	2797	4597	2826	95400	0	
1	 12	 4	 5	sample48	2242	4042	2570	72000	0	
1	 12	 4	 6	control	141	2455	0	92560	0	
2	 1	 1	 1	sample49	6197	8767	6424	205600	0	
2	 1	 1	 2	sample49	5526	7838	5398	198832	0	
2	 1	 1	 3	sample49	5667	7465	5654	145638	0	
2	 1	 1	 4	sample49	4101	5899	4370	163618	0	
2	 1	 1	 5	sample49	3336	4878	3340	81726	0	
2	 1	 1	 6	control	-45.64	1496	-257.99	61680	0	
2	 1	 2	 1	sample50	5115	8713	5654	190694	0	
2	 1	 2	 2	sample50	7862	10688	7710	240210	0	
2	 1	 2	 3	sample50	6444	9014	7196	241580	0	
2	 1	 2	 4	sample50	5442	7240	5654	167214	0	
2	 1	 2	 5	sample50	4520	6062	4368	131070	0	
2	 1	 2	 6	control	507	2049	514	61680	0	
2	 1	 3	 1	sample51	1260	4086	514	113040	0	
2	 1	 3	 2	sample51	2788	5358	2312	102800	0	
2	 1	 3	 3	sample51	3026	5082	1542	82240	0	
2	 1	 3	 4	sample51	2091	3889	2056	93496	0	
2	 1	 3	 5	sample51	2282	3566	2056	62916	0	
2	 1	 3	 6	control	-26.19	1516	0	61680	0	
2	 1	 4	 1	sample52	5161	6959	4626	154628	0	
2	 1	 4	 2	sample52	4203	6001	4626	169012	0	
2	 1	 4	 3	sample52	2307	4105	2056	71920	0	
2	 1	 4	 4	sample52	2242	3784	2056	61680	0	
2	 1	 4	 5	sample52	1653	2937	1542	56496	0	
2	 1	 4	 6	control	283	1567	258	51360	0	
2	 2	 1	 1	sample53	8210	10010	9252	169200	0	
2	 2	 1	 2	sample53	6976	9032	7968	174760	0	
2	 2	 1	 3	sample53	6970	8770	8224	117000	0	
2	 2	 1	 4	sample53	4927	6469	5398	117192	0	
2	 2	 1	 5	sample53	4159	5445	4626	96450	0	
2	 2	 1	 6	control	96.9	1125	0	41120	0	
2	 2	 2	 1	sample54	6577	8377	6424	163800	0	
2	 2	 2	 2	sample54	7908	10736	8480	186648	0	
2	 2	 2	 3	sample54	5770	8084	6424	178178	0	
2	 2	 2	 4	sample54	4642	6442	4626	140400	0	
2	 2	 2	 5	sample54	3569	5111	3856	109482	0	
2	 2	 2	 6	control	314	1600	256	51440	0	
2	 2	 3	 1	sample55	9224	11024	9766	135000	0	
2	 2	 3	 2	sample55	8053	10623	8224	215880	0	
2	 2	 3	 3	sample55	5687	8001	6424	159666	0	
2	 2	 3	 4	sample55	4248	6304	4370	148032	0	
2	 2	 3	 5	sample55	2303	3845	2314	77100	0	
2	 2	 3	 6	control	-39.04	1247	0	51440	0	
2	 2	 4	 1	sample56	3841	5127	3340	168466	0	
2	 2	 4	 2	sample56	5986	7786	5654	73800	0	
2	 2	 4	 3	sample56	2492	4292	2312	72000	0	
2	 2	 4	 4	sample56	2333	3875	2056	61680	0	
2	 2	 4	 5	sample56	829	2371	772	61680	0	
2	 2	 4	 6	control	122	1408	256	51440	0	
2	 3	 1	 1	sample57	9098	10640	8994	137238	0	
2	 3	 1	 2	sample57	8442	10240	9252	163618	0	
2	 3	 1	 3	sample57	7554	9352	8224	151032	0	
2	 3	 1	 4	sample57	5387	6929	5654	124902	0	
2	 3	 1	 5	sample57	4480	5764	4626	110424	0	
2	 3	 1	 6	control	212	1240	256	41120	0	
2	 3	 2	 1	sample58	4835	6633	4626	172608	0	
2	 3	 2	 2	sample58	4914	7484	4626	210740	0	
2	 3	 2	 3	sample58	4832	7402	4882	131070	0	
2	 3	 2	 4	sample58	2459	4771	2570	122536	0	
