MicroVigene	 Version	 2501
Culture	en-US
9/28/2006 5:07:16 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	5654	7848	6102	160162	0	
1	 1	 1	 2	sample1	4244	6370	4888	165828	0	
1	 1	 1	 3	sample1	3839	5775	4300	143264	0	
1	 1	 1	 4	sample1	3212	4926	3328	125122	0	
1	 1	 1	 5	sample1	2034	3720	2094	79242	0	
1	 1	 1	 6	control	293	2145	226	74080	0	
1	 1	 2	 1	sample2	922	2684	760	70480	0	
1	 1	 2	 2	sample2	1740	3504	1626	77616	0	
1	 1	 2	 3	sample2	1201	2779	1022	63120	0	
1	 1	 2	 4	sample2	629	2175	524	61840	0	
1	 1	 2	 5	sample2	420	2010	414	63600	0	
1	 1	 2	 6	control	802	2490	750	67520	0	
1	 1	 3	 1	sample3	5624	7252	6502	110704	0	
1	 1	 3	 2	sample3	4185	5749	4320	132940	0	
1	 1	 3	 3	sample3	3631	5081	3656	126150	0	
1	 1	 3	 4	sample3	1798	3254	1758	133952	0	
1	 1	 3	 5	sample3	640	2126	610	59440	0	
1	 1	 3	 6	control	273	1779	262	60240	0	
1	 1	 4	 1	sample4	5779	7243	5992	109800	0	
1	 1	 4	 2	sample4	3182	4626	3130	98192	0	
1	 1	 4	 3	sample4	2685	3963	2688	108630	0	
1	 1	 4	 4	sample4	1635	2837	1664	63706	0	
1	 1	 4	 5	sample4	602	1882	632	51200	0	
1	 1	 4	 6	control	500	1810	418	52400	0	
1	 2	 1	 1	sample5	2183	4121	2106	102714	0	
1	 2	 1	 2	sample5	2003	3979	2052	98800	0	
1	 2	 1	 3	sample5	1600	3548	1660	91556	0	
1	 2	 1	 4	sample5	938	2852	882	76560	0	
1	 2	 1	 5	sample5	728	2554	534	73040	0	
1	 2	 1	 6	control	235	1997	26	70480	0	
1	 2	 2	 1	sample6	8611	10361	8800	136500	0	
1	 2	 2	 2	sample6	6499	8275	6868	163392	0	
1	 2	 2	 3	sample6	5214	7010	5952	152660	0	
1	 2	 2	 4	sample6	4408	6094	4524	158484	0	
1	 2	 2	 5	sample6	4091	5687	4382	138852	0	
1	 2	 2	 6	control	1088	2610	1066	60880	0	
1	 2	 3	 1	sample7	1832	3394	1708	112464	0	
1	 2	 3	 2	sample7	1606	3126	1370	60800	0	
1	 2	 3	 3	sample7	859	2439	794	63200	0	
1	 2	 3	 4	sample7	657	2165	632	60320	0	
1	 2	 3	 5	sample7	398	1852	272	58160	0	
1	 2	 3	 6	control	141	1579	30	57520	0	
1	 2	 4	 1	sample8	1090	2450	1054	54400	0	
1	 2	 4	 2	sample8	294	1718	214	56960	0	
1	 2	 4	 3	sample8	679	2105	696	57040	0	
1	 2	 4	 4	sample8	393	1743	266	54000	0	
1	 2	 4	 5	sample8	320	1618	146	51920	0	
1	 2	 4	 6	control	719	2055	604	53440	0	
1	 3	 1	 1	sample9	4704	6264	4702	95160	0	
1	 3	 1	 2	sample9	3817	5281	4288	101016	0	
1	 3	 1	 3	sample9	3011	4447	3480	90468	0	
1	 3	 1	 4	sample9	2114	3578	1954	99552	0	
1	 3	 1	 5	sample9	1289	2739	1348	52200	0	
1	 3	 1	 6	control	234	1668	274	57360	0	
1	 3	 2	 1	sample10	472	1800	436	53120	0	
1	 3	 2	 2	sample10	953	2237	940	51360	0	
