MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 5:37:44 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	2404	4974	2314	102800	0	
1	 1	 1	 2	sample1	3104	5674	2828	136210	0	
1	 1	 1	 3	sample1	3025	5339	3084	173550	0	
1	 1	 1	 4	sample1	2724	5038	2570	115700	0	
1	 1	 1	 5	sample1	1596	3910	1542	120328	0	
1	 1	 1	 6	control	-58.09	2256	0	92560	0	
1	 1	 2	 1	sample2	1651	3965	1798	108758	0	
1	 1	 2	 2	sample2	2675	4989	2312	168922	0	
1	 1	 2	 3	sample2	2286	4342	2314	172704	0	
1	 1	 2	 4	sample2	2326	4382	2314	82240	0	
1	 1	 2	 5	sample2	1655	3711	1542	98688	0	
1	 1	 2	 6	control	787	3101	770	74048	0	
1	 1	 3	 1	sample3	6063	8377	6168	159666	0	
1	 1	 3	 2	sample3	6606	8662	6682	152144	0	
1	 1	 3	 3	sample3	6628	8684	6940	135696	0	
1	 1	 3	 4	sample3	4675	6731	4884	141864	0	
1	 1	 3	 5	sample3	1967	4023	1800	164480	0	
1	 1	 3	 6	control	167	2223	0	82240	0	
1	 1	 4	 1	sample4	6668	8724	6940	150088	0	
1	 1	 4	 2	sample4	5518	7318	6168	163800	0	
1	 1	 4	 3	sample4	4191	5991	3598	174600	0	
1	 1	 4	 4	sample4	2953	4753	2570	145800	0	
1	 1	 4	 5	sample4	3438	5238	2826	37800	0	
1	 1	 4	 6	control	443	2243	256	72000	0	
1	 2	 1	 1	sample5	6577	9661	6424	259056	0	
1	 2	 1	 2	sample5	7190	10016	7454	231732	0	
1	 2	 1	 3	sample5	5943	8769	6168	251514	0	
1	 2	 1	 4	sample5	4521	7091	4112	190180	0	
1	 2	 1	 5	sample5	2794	5364	2570	203030	0	
1	 2	 1	 6	control	70.2	2640	0	102800	0	
1	 2	 2	 1	sample6	3728	6812	3340	249804	0	
1	 2	 2	 2	sample6	4095	6921	5140	209124	0	
1	 2	 2	 3	sample6	4279	7105	4112	240210	0	
1	 2	 2	 4	sample6	3314	5884	3084	226160	0	
1	 2	 2	 5	sample6	2167	4479	2056	215016	0	
1	 2	 2	 6	control	662	2974	514	92480	0	
1	 2	 3	 1	sample7	5483	8309	5654	203472	0	
1	 2	 3	 2	sample7	5324	8150	4884	206298	0	
1	 2	 3	 3	sample7	4293	7119	3342	217602	0	
1	 2	 3	 4	sample7	3300	5870	2826	213310	0	
1	 2	 3	 5	sample7	2113	4425	1800	221952	0	
1	 2	 3	 6	control	-108.84	2203	0	92480	0	
1	 2	 4	 1	sample8	4237	6807	4368	221020	0	
1	 2	 4	 2	sample8	2374	4944	2312	192750	0	
1	 2	 4	 3	sample8	2748	5318	2570	244150	0	
1	 2	 4	 4	sample8	1477	4047	1542	102800	0	
1	 2	 4	 5	sample8	1066	3636	770	136210	0	
1	 2	 4	 6	control	327	2897	514	102800	0	
1	 3	 1	 1	sample9	9451	12021	11050	161910	0	
1	 3	 1	 2	sample9	9483	12053	10536	187610	0	
1	 3	 1	 3	sample9	8645	11215	8994	172190	0	
1	 3	 1	 4	sample9	7111	9423	7968	131784	0	
1	 3	 1	 5	sample9	5180	7492	4884	136408	0	
1	 3	 1	 6	control	155	2467	258	92480	0	
1	 3	 2	 1	sample10	2287	4857	1798	102800	0	
1	 3	 2	 2	sample10	4037	6349	4112	141032	0	
1	 3	 2	 3	sample10	4223	6535	4370	145656	0	
1	 3	 2	 4	sample10	3119	5175	2826	135696	0	
1	 3	 2	 5	sample10	2163	4219	1542	148032	0	
1	 3	 2	 6	control	1143	3199	1028	63736	0	
1	 3	 3	 1	sample11	2774	5086	2828	134096	0	
1	 3	 3	 2	sample11	3521	5833	3084	129472	0	
1	 3	 3	 3	sample11	2846	5158	2056	131784	0	
1	 3	 3	 4	sample11	1927	3983	1798	94576	0	
1	 3	 3	 5	sample11	1153	3209	1028	96632	0	
1	 3	 3	 6	control	-13.39	2043	0	82240	0	
1	 3	 4	 1	sample12	2368	4680	2314	141032	0	
1	 3	 4	 2	sample12	2080	4392	2056	101728	0	
1	 3	 4	 3	sample12	2226	4538	2314	122536	0	
1	 3	 4	 4	sample12	1168	3224	1284	108968	0	
1	 3	 4	 5	sample12	443	2499	256	82240	0	
1	 3	 4	 6	control	334	2390	256	82240	0	
1	 4	 1	 1	sample13	7491	10061	7196	190180	0	
1	 4	 1	 2	sample13	9027	11597	9508	200460	0	
1	 4	 1	 3	sample13	7181	9751	5910	182470	0	
1	 4	 1	 4	sample13	5270	7840	4626	192750	0	
1	 4	 1	 5	sample13	3036	5348	2314	171088	0	
1	 4	 1	 6	control	277	2589	258	92480	0	
1	 4	 2	 1	sample14	7815	10385	7966	174760	0	
1	 4	 2	 2	sample14	6446	9016	7196	182470	0	
1	 4	 2	 3	sample14	5925	8495	6424	185040	0	
1	 4	 2	 4	sample14	4677	7247	3854	205600	0	
1	 4	 2	 5	sample14	2891	5203	2828	122536	0	
1	 4	 2	 6	control	759	3071	772	92480	0	
