MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 11:31:27 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	759	3329	514	102800	0	
1	 1	 1	 2	sample1	434	3004	258	123360	0	
1	 1	 1	 3	sample1	219	2789	258	102800	0	
1	 1	 1	 4	sample1	501	2815	514	48594	0	
1	 1	 1	 5	sample1	276	2590	256	92560	0	
1	 1	 1	 6	control	346	2660	256	92560	0	
1	 1	 2	 1	sample2	592	2648	514	102800	0	
1	 1	 2	 2	sample2	1124	3180	1028	71960	0	
1	 1	 2	 3	sample2	527	2583	514	82240	0	
1	 1	 2	 4	sample2	360	2416	258	82240	0	
1	 1	 2	 5	sample2	404	2204	256	72000	0	
1	 1	 2	 6	control	869	2669	770	84600	0	
1	 1	 3	 1	sample3	887	2429	772	92520	0	
1	 1	 3	 2	sample3	585	2385	514	90000	0	
1	 1	 3	 3	sample3	670	2212	514	74016	0	
1	 1	 3	 4	sample3	467	2267	514	39600	0	
1	 1	 3	 5	sample3	225	1767	258	61680	0	
1	 1	 3	 6	control	328	1870	258	61680	0	
1	 1	 4	 1	sample4	784	2326	772	124902	0	
1	 1	 4	 2	sample4	899	2185	1028	102880	0	
1	 1	 4	 3	sample4	623	1909	514	51440	0	
1	 1	 4	 4	sample4	444	1986	258	61680	0	
1	 1	 4	 5	sample4	435	1977	514	20046	0	
1	 1	 4	 6	control	836	2378	772	24672	0	
1	 2	 1	 1	sample5	860	2916	770	82240	0	
1	 2	 1	 2	sample5	775	2831	770	104856	0	
1	 2	 1	 3	sample5	652	2708	514	80184	0	
1	 2	 1	 4	sample5	676	2732	514	61680	0	
1	 2	 1	 5	sample5	484	2540	514	88408	0	
1	 2	 1	 6	control	346	2402	256	82240	0	
1	 2	 2	 1	sample6	958	2756	772	39556	0	
1	 2	 2	 2	sample6	1065	2863	1028	37758	0	
1	 2	 2	 3	sample6	635	2433	514	61132	0	
1	 2	 2	 4	sample6	893	2435	1028	32382	0	
1	 2	 2	 5	sample6	575	2117	514	64764	0	
1	 2	 2	 6	control	880	2422	770	72474	0	
1	 2	 3	 1	sample7	595	1879	514	61632	0	
1	 2	 3	 2	sample7	720	2004	772	51360	0	
1	 2	 3	 3	sample7	547	1831	514	51360	0	
1	 2	 3	 4	sample7	591	1875	514	34668	0	
1	 2	 3	 5	sample7	200	1484	258	51360	0	
1	 2	 3	 6	control	402	1686	514	20544	0	
1	 2	 4	 1	sample8	596	1880	514	56496	0	
1	 2	 4	 2	sample8	418	1702	258	51360	0	
1	 2	 4	 3	sample8	315	1599	258	51360	0	
1	 2	 4	 4	sample8	681	1709	514	23644	0	
1	 2	 4	 5	sample8	676	1704	514	19532	0	
1	 2	 4	 6	control	584	1612	514	41120	0	
1	 3	 1	 1	sample9	989	3303	1028	62478	0	
1	 3	 1	 2	sample9	728	3042	770	97188	0	
1	 3	 1	 3	sample9	736	3050	770	85618	0	
1	 3	 1	 4	sample9	449	2763	514	92560	0	
1	 3	 1	 5	sample9	436	2750	256	92560	0	
1	 3	 1	 6	control	443	2757	256	92560	0	
1	 3	 2	 1	sample10	610	2410	514	72000	0	
1	 3	 2	 2	sample10	443	2499	514	51400	0	
1	 3	 2	 3	sample10	412	2468	258	30840	0	
1	 3	 2	 4	sample10	413	2469	514	78128	0	
1	 3	 2	 5	sample10	385	2185	256	72000	0	
1	 3	 2	 6	control	1874	3930	1028	92520	0	
1	 3	 3	 1	sample11	872	2414	772	27756	0	
1	 3	 3	 2	sample11	860	2402	772	44718	0	
1	 3	 3	 3	sample11	484	2026	514	26214	0	
1	 3	 3	 4	sample11	393	1935	258	61680	0	
1	 3	 3	 5	sample11	338	1880	258	74016	0	
1	 3	 3	 6	control	129	1671	258	61680	0	
1	 3	 4	 1	sample12	1285	2571	1028	72016	0	
1	 3	 4	 2	sample12	409	1951	258	70932	0	
1	 3	 4	 3	sample12	418	1960	514	24672	0	
1	 3	 4	 4	sample12	315	1857	258	61680	0	
1	 3	 4	 5	sample12	443	1729	514	51440	0	
1	 3	 4	 6	control	302	1844	258	61680	0	
1	 4	 1	 1	sample13	653	2965	514	115600	0	
1	 4	 1	 2	sample13	604	2916	514	92480	0	
1	 4	 1	 3	sample13	576	2888	514	97104	0	
1	 4	 1	 4	sample13	418	2730	258	92480	0	
1	 4	 1	 5	sample13	250	2820	256	102800	0	
1	 4	 1	 6	control	336	2906	256	107940	0	
1	 4	 2	 1	sample14	572	2370	514	88102	0	
1	 4	 2	 2	sample14	383	2181	258	88102	0	
1	 4	 2	 3	sample14	446	2244	514	73718	0	
1	 4	 2	 4	sample14	380	2178	258	71920	0	
1	 4	 2	 5	sample14	609	2407	514	68324	0	
