MicroVigene	 Version	 2650
Culture	en-US
8/15/2006 5:11:26 PM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1461	3261	1284	28800	0	
1	 1	 1	 2	sample1	1216	3016	1284	88200	0	
1	 1	 1	 3	sample1	1015	2815	770	72000	0	
1	 1	 1	 4	sample1	842	2898	514	59624	0	
1	 1	 1	 5	sample1	457	2513	258	82240	0	
1	 1	 1	 6	control	354	2410	258	82240	0	
1	 1	 2	 1	sample2	649	2191	514	70932	0	
1	 1	 2	 2	sample2	1180	2722	1028	26214	0	
1	 1	 2	 3	sample2	1171	2713	1028	27756	0	
1	 1	 2	 4	sample2	757	2557	514	66600	0	
1	 1	 2	 5	sample2	611	2411	514	66600	0	
1	 1	 2	 6	control	668	2468	770	81000	0	
1	 1	 3	 1	sample3	910	2196	770	45010	0	
1	 1	 3	 2	sample3	654	1940	514	56584	0	
1	 1	 3	 3	sample3	623	1909	514	51440	0	
1	 1	 3	 4	sample3	360	1902	258	61680	0	
1	 1	 3	 5	sample3	438	1980	258	57054	0	
1	 1	 3	 6	control	168	1710	0	61680	0	
1	 1	 4	 1	sample4	1063	2091	1028	61680	0	
1	 1	 4	 2	sample4	1168	2196	1028	35980	0	
1	 1	 4	 3	sample4	961	1989	772	47288	0	
1	 1	 4	 4	sample4	462	1748	514	51440	0	
1	 1	 4	 5	sample4	435	1721	514	59156	0	
1	 1	 4	 6	control	593	1879	514	54012	0	
1	 2	 1	 1	sample5	748	3318	514	321250	0	
1	 2	 1	 2	sample5	834	3146	772	208080	0	
1	 2	 1	 3	sample5	596	3166	514	71960	0	
1	 2	 1	 4	sample5	1234	3546	1028	34680	0	
1	 2	 1	 5	sample5	428	2998	514	107940	0	
1	 2	 1	 6	control	626	3196	514	41120	0	
1	 2	 2	 1	sample6	723	2779	514	88408	0	
1	 2	 2	 2	sample6	1103	3159	1028	49344	0	
1	 2	 2	 3	sample6	687	2743	514	82240	0	
1	 2	 2	 4	sample6	1027	3083	770	69904	0	
1	 2	 2	 5	sample6	960	3016	770	47288	0	
1	 2	 2	 6	control	760	3072	772	198832	0	
1	 2	 3	 1	sample7	1147	2945	1028	116870	0	
1	 2	 3	 2	sample7	671	2469	772	161820	0	
1	 2	 3	 3	sample7	555	2353	514	79112	0	
1	 2	 3	 4	sample7	575	2373	514	68324	0	
1	 2	 3	 5	sample7	463	2261	514	71920	0	
1	 2	 3	 6	control	418	2474	256	55512	0	
1	 2	 4	 1	sample8	1041	2583	1028	120276	0	
1	 2	 4	 2	sample8	729	2527	772	32364	0	
1	 2	 4	 3	sample8	558	2100	514	61680	0	
1	 2	 4	 4	sample8	842	2384	770	27756	0	
1	 2	 4	 5	sample8	586	2384	514	44950	0	
1	 2	 4	 6	control	598	2396	514	71920	0	
1	 3	 1	 1	sample9	1090	3660	1028	74530	0	
1	 3	 1	 2	sample9	735	3819	770	132612	0	
1	 3	 1	 3	sample9	603	3687	514	123360	0	
1	 3	 1	 4	sample9	437	3263	514	113040	0	
1	 3	 1	 5	sample9	488	3058	514	102800	0	
1	 3	 1	 6	control	348	2660	258	92480	0	
1	 3	 2	 1	sample10	1440	3752	1286	104040	0	
1	 3	 2	 2	sample10	903	3729	1028	115866	0	
1	 3	 2	 3	sample10	917	3487	770	131070	0	
1	 3	 2	 4	sample10	732	2788	770	82240	0	
1	 3	 2	 5	sample10	785	2583	772	34162	0	
1	 3	 2	 6	control	1031	2573	770	106398	0	
1	 3	 3	 1	sample11	972	3028	1028	94576	0	
1	 3	 3	 2	sample11	995	2793	1028	82708	0	
1	 3	 3	 3	sample11	651	2449	514	84506	0	
1	 3	 3	 4	sample11	497	2039	514	70932	0	
1	 3	 3	 5	sample11	669	1953	514	25680	0	
1	 3	 3	 6	control	155	1439	0	51360	0	
1	 3	 4	 1	sample12	1490	3032	1542	84810	0	
1	 3	 4	 2	sample12	613	2155	514	67848	0	
1	 3	 4	 3	sample12	611	1895	514	51360	0	
1	 3	 4	 4	sample12	405	1689	258	51360	0	
1	 3	 4	 5	sample12	449	1477	256	41120	0	
1	 3	 4	 6	control	636	1664	514	41120	0	
1	 4	 1	 1	sample13	1510	3824	1542	134212	0	
1	 4	 1	 2	sample13	1165	3221	1028	96632	0	
1	 4	 1	 3	sample13	700	2756	772	88408	0	
1	 4	 1	 4	sample13	494	2550	514	102800	0	
1	 4	 1	 5	sample13	444	2500	258	90464	0	
1	 4	 1	 6	control	71.2	2127	0	82240	0	
1	 4	 2	 1	sample14	884	2684	1028	93600	0	
1	 4	 2	 2	sample14	850	2650	770	46800	0	
1	 4	 2	 3	sample14	657	2199	514	72474	0	
1	 4	 2	 4	sample14	540	2082	514	61680	0	
1	 4	 2	 5	sample14	579	2121	514	61680	0	
1	 4	 2	 6	control	915	2457	1028	115650	0	
1	 4	 3	 1	sample15	425	1967	514	70932	0	
1	 4	 3	 2	sample15	636	1922	514	51440	0	
1	 4	 3	 3	sample15	584	1870	514	51440	0	
1	 4	 3	 4	sample15	257	1799	258	61680	0	
1	 4	 3	 5	sample15	129	1671	0	61680	0	
1	 4	 3	 6	control	-5.99	1536	0	61680	0	
1	 4	 4	 1	sample16	1002	2288	1028	77160	0	
1	 4	 4	 2	sample16	591	1877	514	51440	0	
1	 4	 4	 3	sample16	578	1864	514	51440	0	
1	 4	 4	 4	sample16	462	1748	514	51440	0	
1	 4	 4	 5	sample16	468	1754	256	51440	0	
1	 4	 4	 6	control	710	1996	514	60442	0	
1	 5	 1	 1	sample17	765	2821	514	88408	0	
1	 5	 1	 2	sample17	361	2417	258	96632	0	
1	 5	 1	 3	sample17	422	2478	258	102800	0	
1	 5	 1	 4	sample17	315	2371	258	82240	0	
1	 5	 1	 5	sample17	341	2397	258	82240	0	
1	 5	 1	 6	control	283	2339	258	82240	0	
1	 5	 2	 1	sample18	913	2455	772	78642	0	
1	 5	 2	 2	sample18	845	2387	772	32382	0	
1	 5	 2	 3	sample18	415	2215	514	84600	0	
1	 5	 2	 4	sample18	276	2076	256	72000	0	
1	 5	 2	 5	sample18	147	1947	0	72000	0	
1	 5	 2	 6	control	951	2751	770	48600	0	
1	 5	 3	 1	sample19	818	2360	772	67848	0	
1	 5	 3	 2	sample19	772	2314	772	35466	0	
1	 5	 3	 3	sample19	562	2104	514	66306	0	
1	 5	 3	 4	sample19	794	2336	772	35466	0	
1	 5	 3	 5	sample19	328	1870	258	61680	0	
1	 5	 3	 6	control	161	1703	258	61680	0	
1	 5	 4	 1	sample20	617	2159	514	84810	0	
1	 5	 4	 2	sample20	526	1812	514	51440	0	
1	 5	 4	 3	sample20	276	1818	258	66306	0	
1	 5	 4	 4	sample20	360	1902	258	61680	0	
1	 5	 4	 5	sample20	258	1800	258	61680	0	
1	 5	 4	 6	control	545	2087	514	64764	0	
1	 6	 1	 1	sample21	690	3004	514	111072	0	
1	 6	 1	 2	sample21	629	2943	770	92560	0	
1	 6	 1	 3	sample21	585	2641	514	82240	0	
1	 6	 1	 4	sample21	633	2689	772	26728	0	
1	 6	 1	 5	sample21	514	2570	514	84296	0	
1	 6	 1	 6	control	360	2416	258	82240	0	
1	 6	 2	 1	sample22	449	2249	514	72000	0	
1	 6	 2	 2	sample22	582	2382	514	73800	0	
1	 6	 2	 3	sample22	538	2338	514	75600	0	
1	 6	 2	 4	sample22	395	2195	256	66600	0	
1	 6	 2	 5	sample22	295	2095	256	72000	0	
1	 6	 2	 6	control	1039	2839	770	39600	0	
1	 6	 3	 1	sample23	438	2238	256	30600	0	
1	 6	 3	 2	sample23	476	2018	258	61680	0	
1	 6	 3	 3	sample23	290	1832	258	61680	0	
1	 6	 3	 4	sample23	296	1838	258	61680	0	
1	 6	 3	 5	sample23	354	1896	258	61680	0	
1	 6	 3	 6	control	302	1844	258	61680	0	
1	 6	 4	 1	sample24	536	2078	514	55512	0	
1	 6	 4	 2	sample24	526	2068	514	33924	0	
1	 6	 4	 3	sample24	609	2151	514	41634	0	
1	 6	 4	 4	sample24	427	1969	258	63222	0	
1	 6	 4	 5	sample24	330	1872	258	49344	0	
1	 6	 4	 6	control	245	1787	258	61680	0	
1	 7	 1	 1	sample25	917	3487	1028	125930	0	
1	 7	 1	 2	sample25	991	3561	770	89950	0	
1	 7	 1	 3	sample25	553	3123	514	118220	0	
1	 7	 1	 4	sample25	697	3267	514	53970	0	
1	 7	 1	 5	sample25	630	2942	514	92480	0	
1	 7	 1	 6	control	607	3177	514	56540	0	
1	 7	 2	 1	sample26	722	2778	514	76072	0	
1	 7	 2	 2	sample26	607	2663	514	84296	0	
1	 7	 2	 3	sample26	494	2550	256	82240	0	
1	 7	 2	 4	sample26	424	2480	256	82240	0	
1	 7	 2	 5	sample26	468	2524	256	82240	0	
1	 7	 2	 6	control	706	3018	514	108664	0	
1	 7	 3	 1	sample27	662	2460	514	71920	0	
1	 7	 3	 2	sample27	1157	2955	1028	32364	0	
1	 7	 3	 3	sample27	566	2364	258	71920	0	
1	 7	 3	 4	sample27	418	2216	258	71920	0	
1	 7	 3	 5	sample27	341	2139	0	71920	0	
1	 7	 3	 6	control	918	2716	772	25172	0	
1	 7	 4	 1	sample28	412	2210	258	71920	0	
1	 7	 4	 2	sample28	238	2036	0	71920	0	
1	 7	 4	 3	sample28	781	2323	770	37008	0	
1	 7	 4	 4	sample28	488	2030	256	61680	0	
