MicroVigene	 Version	 2650
Culture	en-US
8/17/2006 10:04:36 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	1028	3854	1028	110214	0	
1	 1	 1	 2	sample1	1130	3700	1028	102800	0	
1	 1	 1	 3	sample1	1002	3572	770	102800	0	
1	 1	 1	 4	sample1	764	3334	514	95090	0	
1	 1	 1	 5	sample1	738	3308	770	61680	0	
1	 1	 1	 6	control	642	3212	514	61680	0	
1	 1	 2	 1	sample2	1205	3517	772	43928	0	
1	 1	 2	 2	sample2	1567	3623	1284	84296	0	
1	 1	 2	 3	sample2	1233	3289	1028	41120	0	
1	 1	 2	 4	sample2	1184	3240	1028	47288	0	
1	 1	 2	 5	sample2	706	2762	770	65792	0	
1	 1	 2	 6	control	791	2847	770	76072	0	
1	 1	 3	 1	sample3	1193	2991	1028	95294	0	
1	 1	 3	 2	sample3	1041	2839	1028	71920	0	
1	 1	 3	 3	sample3	836	2634	772	71920	0	
1	 1	 3	 4	sample3	691	2489	514	62930	0	
1	 1	 3	 5	sample3	777	2319	514	61680	0	
1	 1	 3	 6	control	302	2100	258	71920	0	
1	 1	 4	 1	sample4	1099	2641	1028	100230	0	
1	 1	 4	 2	sample4	1099	2641	1028	27756	0	
1	 1	 4	 3	sample4	551	2093	514	63222	0	
1	 1	 4	 4	sample4	513	2055	256	37008	0	
1	 1	 4	 5	sample4	531	2073	514	69390	0	
1	 1	 4	 6	control	481	2023	514	61680	0	
1	 2	 1	 1	sample5	927	3497	1028	118220	0	
1	 2	 1	 2	sample5	753	3323	514	77100	0	
1	 2	 1	 3	sample5	424	2994	514	102800	0	
1	 2	 1	 4	sample5	694	3006	772	99416	0	
1	 2	 1	 5	sample5	650	2962	514	92480	0	
1	 2	 1	 6	control	527	2839	258	92480	0	
1	 2	 2	 1	sample6	945	3001	770	115136	0	
1	 2	 2	 2	sample6	1195	3251	1028	47288	0	
1	 2	 2	 3	sample6	783	2839	770	84296	0	
1	 2	 2	 4	sample6	976	3032	1028	41120	0	
1	 2	 2	 5	sample6	582	2638	514	61680	0	
1	 2	 2	 6	control	1133	3189	1028	45232	0	
1	 2	 3	 1	sample7	940	2482	770	63222	0	
1	 2	 3	 2	sample7	815	2357	770	61680	0	
1	 2	 3	 3	sample7	700	2242	514	61680	0	
1	 2	 3	 4	sample7	976	2518	770	38550	0	
1	 2	 3	 5	sample7	475	2017	514	61680	0	
1	 2	 3	 6	control	642	2184	514	33924	0	
1	 2	 4	 1	sample8	1042	2326	1028	50076	0	
1	 2	 4	 2	sample8	1018	2302	772	32100	0	
1	 2	 4	 3	sample8	334	1876	256	61680	0	
1	 2	 4	 4	sample8	673	2215	514	32382	0	
1	 2	 4	 5	sample8	585	1869	514	51360	0	
1	 2	 4	 6	control	1359	2643	1286	26964	0	
1	 3	 1	 1	sample9	1313	3883	1284	46260	0	
1	 3	 1	 2	sample9	759	3329	770	113080	0	
1	 3	 1	 3	sample9	532	3102	514	107940	0	
1	 3	 1	 4	sample9	593	3163	514	100230	0	
1	 3	 1	 5	sample9	777	3089	772	104040	0	
1	 3	 1	 6	control	269	2839	256	102800	0	
1	 3	 2	 1	sample10	490	2546	514	88408	0	
1	 3	 2	 2	sample10	584	2640	514	82240	0	
1	 3	 2	 3	sample10	490	2546	256	90464	0	
1	 3	 2	 4	sample10	745	2801	514	41120	0	
1	 3	 2	 5	sample10	560	2616	514	45232	0	
1	 3	 2	 6	control	887	2943	770	131584	0	
1	 3	 3	 1	sample11	1274	2816	1284	37008	0	
1	 3	 3	 2	sample11	1008	2550	1028	41634	0	
1	 3	 3	 3	sample11	619	2161	514	67848	0	
1	 3	 3	 4	sample11	530	2328	514	59334	0	
1	 3	 3	 5	sample11	206	2004	258	71920	0	
1	 3	 3	 6	control	116	1914	0	71920	0	
1	 3	 4	 1	sample12	1357	2641	1028	55212	0	
1	 3	 4	 2	sample12	649	2191	514	55512	0	
1	 3	 4	 3	sample12	430	1972	514	52428	0	
1	 3	 4	 4	sample12	366	1908	256	72474	0	
1	 3	 4	 5	sample12	503	2045	514	38550	0	
1	 3	 4	 6	control	537	2079	514	33924	0	
1	 4	 1	 1	sample13	1085	3399	770	92560	0	
1	 4	 1	 2	sample13	913	3227	770	104130	0	
1	 4	 1	 3	sample13	792	3106	770	83304	0	
1	 4	 1	 4	sample13	788	3102	770	99502	0	
1	 4	 1	 5	sample13	721	3035	770	71734	0	
1	 4	 1	 6	control	770	3084	514	60164	0	
1	 4	 2	 1	sample14	742	2542	770	127800	0	
1	 4	 2	 2	sample14	1284	3084	1284	36000	0	
1	 4	 2	 3	sample14	674	2474	514	72000	0	
1	 4	 2	 4	sample14	584	2384	514	72000	0	
1	 4	 2	 5	sample14	839	2639	770	46800	0	
1	 4	 2	 6	control	1032	2832	1028	93600	0	
1	 4	 3	 1	sample15	1070	2612	1028	47802	0	
1	 4	 3	 2	sample15	1082	2624	772	29298	0	
1	 4	 3	 3	sample15	833	2375	772	32382	0	
1	 4	 3	 4	sample15	627	2169	514	49344	0	
