MicroVigene	 Version	 2650
Culture	en-US
8/16/2006 10:25:00 AM
Roi Row	 4	 Roi Col	 12	 Main Row	 4	 Main Col	 6	 Sub Row	 1	 Sub Col	 1
Main Row	 Main Col	 Sub Row	 Sub Col	  GeneID	mean_net	 mean_total	 median_net	 vol_bkg	 vol_dust	 
1	 1	 1	 1	sample1	4438	7522	4626	243636	0	
1	 1	 1	 2	sample1	2891	5975	3084	274476	0	
1	 1	 1	 3	sample1	3389	6473	3856	218964	0	
1	 1	 1	 4	sample1	2405	5489	2314	243636	0	
1	 1	 1	 5	sample1	1747	4831	1542	151116	0	
1	 1	 1	 6	control	391	3219	256	113120	0	
1	 1	 2	 1	sample2	5587	8671	6168	209712	0	
1	 1	 2	 2	sample2	4701	7529	4882	231896	0	
1	 1	 2	 3	sample2	4615	7443	4882	217756	0	
1	 1	 2	 4	sample2	4067	6637	4370	190180	0	
1	 1	 2	 5	sample2	2452	5022	2056	277560	0	
1	 1	 2	 6	control	7487	10057	7710	195320	0	
1	 1	 3	 1	sample3	7992	10562	9510	190180	0	
1	 1	 3	 2	sample3	7152	9722	7968	179900	0	
1	 1	 3	 3	sample3	6029	8599	6682	179900	0	
1	 1	 3	 4	sample3	5015	7329	4626	161980	0	
1	 1	 3	 5	sample3	3159	5473	3340	189748	0	
1	 1	 3	 6	control	147	2461	0	92560	0	
1	 1	 4	 1	sample4	8054	10368	9508	189748	0	
1	 1	 4	 2	sample4	7459	9773	8224	192062	0	
1	 1	 4	 3	sample4	5457	7771	6168	196690	0	
1	 1	 4	 4	sample4	4566	6622	4626	182984	0	
1	 1	 4	 5	sample4	3110	5166	3084	141864	0	
1	 1	 4	 6	control	6530	8586	7710	131584	0	
1	 2	 1	 1	sample5	8791	11875	8224	274476	0	
1	 2	 1	 2	sample5	8381	11723	9252	277386	0	
1	 2	 1	 3	sample5	7055	10139	8482	274476	0	
1	 2	 1	 4	sample5	5195	8279	5140	277560	0	
1	 2	 1	 5	sample5	4447	7275	4368	231896	0	
1	 2	 1	 6	control	295	3123	256	113120	0	
1	 2	 2	 1	sample6	6095	8923	6682	209272	0	
1	 2	 2	 2	sample6	4526	7354	4626	226240	0	
1	 2	 2	 3	sample6	4552	7380	4368	226240	0	
1	 2	 2	 4	sample6	3908	6478	3598	251860	0	
1	 2	 2	 5	sample6	3012	5582	2828	228730	0	
1	 2	 2	 6	control	6468	9038	6940	218450	0	
1	 2	 3	 1	sample7	7574	10144	8224	213310	0	
1	 2	 3	 2	sample7	7519	10089	7454	200460	0	
1	 2	 3	 3	sample7	6583	9153	6426	205600	0	
1	 2	 3	 4	sample7	5295	7865	5398	200460	0	
1	 2	 3	 5	sample7	3812	6126	3598	194376	0	
1	 2	 3	 6	control	276	2590	256	92560	0	
1	 2	 4	 1	sample8	6783	9097	6938	240656	0	
1	 2	 4	 2	sample8	5233	7547	5396	196690	0	
1	 2	 4	 3	sample8	5029	7343	4882	231400	0	
1	 2	 4	 4	sample8	3546	5860	3598	196690	0	
1	 2	 4	 5	sample8	2550	4864	2570	180492	0	
1	 2	 4	 6	control	5369	7683	5910	171236	0	
1	 3	 1	 1	sample9	8708	11534	9510	189342	0	
1	 3	 1	 2	sample9	8139	10965	9766	194994	0	
1	 3	 1	 3	sample9	7251	10077	8224	186516	0	
1	 3	 1	 4	sample9	5911	8481	6168	164480	0	
1	 3	 1	 5	sample9	4192	6504	4370	164152	0	
1	 3	 1	 6	control	309	2621	258	92480	0	
1	 3	 2	 1	sample10	6069	8639	6424	187610	0	
1	 3	 2	 2	sample10	6574	9144	5910	277560	0	
1	 3	 2	 3	sample10	6114	8684	5910	174760	0	
1	 3	 2	 4	sample10	5240	7552	5398	143344	0	
1	 3	 2	 5	sample10	4146	6202	4368	139808	0	
1	 3	 2	 6	control	7634	9690	8224	145976	0	
1	 3	 3	 1	sample11	5811	8123	6426	147968	0	
1	 3	 3	 2	sample11	5239	7551	4626	157216	0	
1	 3	 3	 3	sample11	5298	7610	4626	131784	0	
1	 3	 3	 4	sample11	3436	5492	3854	121304	0	
1	 3	 3	 5	sample11	2707	4505	2570	122264	0	
1	 3	 3	 6	control	187	1985	0	71920	0	
1	 3	 4	 1	sample12	6490	8546	6938	137752	0	
1	 3	 4	 2	sample12	5222	7278	5140	148032	0	
1	 3	 4	 3	sample12	5252	7308	4626	145976	0	
1	 3	 4	 4	sample12	3297	5095	3084	145638	0	
1	 3	 4	 5	sample12	1800	3598	1542	133052	0	
1	 3	 4	 6	control	6146	7944	6426	102486	0	
1	 4	 1	 1	sample13	8926	11238	8996	180336	0	
1	 4	 1	 2	sample13	9235	11805	9508	205600	0	
1	 4	 1	 3	sample13	8448	10760	8996	175712	0	
1	 4	 1	 4	sample13	6053	8365	6168	180336	0	
1	 4	 1	 5	sample13	4626	6682	4368	148032	0	
1	 4	 1	 6	control	380	2692	258	92480	0	
1	 4	 2	 1	sample14	7148	9204	8224	156256	0	
1	 4	 2	 2	sample14	6296	8352	6938	152144	0	
1	 4	 2	 3	sample14	5369	7425	5910	170648	0	
1	 4	 2	 4	sample14	4301	6357	4368	164480	0	
1	 4	 2	 5	sample14	3149	5205	2312	185040	0	
1	 4	 2	 6	control	7805	9861	8480	143920	0	
1	 4	 3	 1	sample15	4746	6544	5140	131254	0	
1	 4	 3	 2	sample15	3757	5555	3856	122264	0	
1	 4	 3	 3	sample15	3276	5074	2828	127658	0	
1	 4	 3	 4	sample15	2478	4276	2570	89900	0	
1	 4	 3	 5	sample15	1583	3381	1542	91698	0	
1	 4	 3	 6	control	250	2306	256	82240	0	
1	 4	 4	 1	sample16	5307	6849	5396	123360	0	
1	 4	 4	 2	sample16	3351	5149	3084	145638	0	
1	 4	 4	 3	sample16	3795	5593	3598	138446	0	
1	 4	 4	 4	sample16	2143	3941	2056	138446	0	
1	 4	 4	 5	sample16	1613	3411	1542	104284	0	
1	 4	 4	 6	control	4373	6171	4112	116870	0	
1	 5	 1	 1	sample17	6643	9469	6940	254340	0	
1	 5	 1	 2	sample17	6594	9420	6682	228906	0	
1	 5	 1	 3	sample17	5199	8025	5140	211950	0	
1	 5	 1	 4	sample17	4208	7034	4112	220428	0	
1	 5	 1	 5	sample17	2513	5339	2314	214776	0	
1	 5	 1	 6	control	129	2955	258	113040	0	
1	 5	 2	 1	sample18	4846	7672	5140	214776	0	
1	 5	 2	 2	sample18	5854	8938	5910	225132	0	
1	 5	 2	 3	sample18	5158	7984	5140	211950	0	
1	 5	 2	 4	sample18	3568	6394	3342	237384	0	
1	 5	 2	 5	sample18	2627	5453	2570	257166	0	
1	 5	 2	 6	control	6745	9315	6938	208170	0	
1	 5	 3	 1	sample19	7671	10497	8738	200646	0	
1	 5	 3	 2	sample19	7422	10248	7454	319338	0	
1	 5	 3	 3	sample19	6247	9073	6168	186516	0	
1	 5	 3	 4	sample19	5154	7724	4882	185040	0	
1	 5	 3	 5	sample19	2890	5460	2826	259570	0	
1	 5	 3	 6	control	63.7	2634	0	102800	0	
1	 5	 4	 1	sample20	6792	9104	7196	221952	0	
1	 5	 4	 2	sample20	5211	7523	5140	201144	0	
1	 5	 4	 3	sample20	4854	7166	4626	203456	0	
1	 5	 4	 4	sample20	3274	5586	3598	194208	0	
1	 5	 4	 5	sample20	1994	4306	2056	180336	0	
